"id","luz","horas_luz","temperatura","humedad","humedad_suelo","nivel_id","fecha","etiqueta"
"6783","13450","13.71","24.87","63","606.5","1","2021-11-19 04:09:18","17"
"6784","13450","12.22","24.87","63","606.5","1","2021-11-19 04:09:23","17"
"6785","13450","13.96","24.87","63","605.5","1","2021-11-19 04:09:28","17"
"6786","14367.7","18.22","24.87","63","606.5","1","2021-11-19 04:09:33","17"
"6787","13450","15.19","24.87","63","606.5","1","2021-11-19 04:09:38","17"
"6788","13450","0.91","24.87","63","606.5","1","2021-11-19 04:09:43","14"
"6789","13450","11.9","24.87","63","606.5","1","2021-11-19 04:09:48","14"
"6790","13450","2.37","24.87","63","605.5","1","2021-11-19 04:09:53","14"
"6791","13450","0.28","24.87","63","605.5","1","2021-11-19 04:09:58","14"
"6792","14367.7","14.82","24.87","63","606","1","2021-11-19 04:10:03","17"
"6793","13450","14.97","24.73","62","606.5","1","2021-11-19 04:10:08","17"
"6794","13450","15.7","24.84","62","606.5","1","2021-11-19 04:10:13","17"
"6795","13450","16.66","24.71","61","605.5","1","2021-11-19 04:10:18","17"
"6796","13450","13.24","24.82","61","606","1","2021-11-19 04:10:23","17"
"6797","13450","3.77","24.84","62","607","1","2021-11-19 04:10:28","14"
"6798","13450","10.31","24.76","63","607.5","1","2021-11-19 04:10:33","14"
"6799","13450","12.58","24.87","63","609","1","2021-11-19 04:10:38","17"
"6800","13450","6.35","24.9","64","607.5","1","2021-11-19 04:10:43","14"
"6801","13531","16.64","24.76","63","609","1","2021-11-19 04:10:48","17"
"6802","13450","8.61","24.76","63","607.5","1","2021-11-19 04:10:53","14"
"6803","13450","4.76","24.9","64","607.5","1","2021-11-19 04:10:58","14"
"6804","13450","6.35","24.9","64","606","1","2021-11-19 04:11:03","14"
"6805","13369.6","10.49","24.87","63","607","1","2021-11-19 04:11:08","14"
"6806","13450","12.93","24.9","64","607.5","1","2021-11-19 04:11:13","17"
"6807","13531","11.31","24.76","63","609","1","2021-11-19 04:11:18","14"
"6808","13369.6","15.25","24.87","63","602.5","1","2021-11-19 04:11:23","17"
"6809","13531","18.29","24.98","63","609.5","1","2021-11-19 04:11:28","17"
"6810","13369.6","16.62","24.87","63","607.5","1","2021-11-19 04:11:33","17"
"6811","13531","13.51","24.87","63","606.5","1","2021-11-19 04:11:38","17"
"6812","13450","0.01","25.01","64","607.5","1","2021-11-19 04:11:43","14"
"6813","13450","3.67","24.84","62","608.5","1","2021-11-19 04:11:48","14"
"6814","13450","13.77","24.84","62","602","1","2021-11-19 04:11:53","17"
"6815","13369.6","5.12","24.98","63","607.5","1","2021-11-19 04:11:58","14"
"6816","13450","13.39","25.01","64","609","1","2021-11-19 04:12:03","17"
"6817","13450","13.42","25.01","64","608.5","1","2021-11-19 04:12:08","17"
"6818","13450","13.6","25.01","64","609.5","1","2021-11-19 04:12:13","17"
"6819","13531","7.61","25.14","65","610","1","2021-11-19 04:12:18","14"
"6820","13531","14.29","24.9","64","603.5","1","2021-11-19 04:12:23","17"
"6821","13450","14.44","25.01","64","610","1","2021-11-19 04:12:28","17"
"6822","13289.6","9.72","25.01","64","609.5","1","2021-11-19 04:12:33","14"
"6823","13450","4.32","25.03","65","607.5","1","2021-11-19 04:12:38","14"
"6824","13289.6","11.76","25.17","66","602","1","2021-11-19 04:12:43","14"
"6825","13289.6","11.11","25.06","66","608.5","1","2021-11-19 04:12:48","14"
"6826","13289.6","12.2","25.03","65","608","1","2021-11-19 04:12:53","17"
"6827","13289.6","16.49","25.14","65","608","1","2021-11-19 04:12:58","17"
"6828","13289.6","12.05","25.12","64","603.5","1","2021-11-19 04:13:03","17"
"6829","13450","5.83","25.09","63","611","1","2021-11-19 04:13:08","14"
"6830","13289.6","12.36","25.09","63","610","1","2021-11-19 04:13:13","17"
"6831","14281.7","12.35","25.09","63","608.5","1","2021-11-19 04:13:18","17"
"6832","13450","11.15","25.12","64","608","1","2021-11-19 04:13:23","14"
"6833","13450","16.96","25.09","63","608.5","1","2021-11-19 04:13:28","17"
"6834","13450","4.35","25.09","63","600.5","1","2021-11-19 04:13:33","14"
"6835","13450","17.67","25.09","63","608.5","1","2021-11-19 04:13:38","17"
"6836","13450","13.89","25.06","62","608.5","1","2021-11-19 04:13:43","17"
"6837","14367.7","13.28","25.2","63","608","1","2021-11-19 04:13:48","17"
"6838","13289.6","14.6","25.12","64","610","1","2021-11-19 04:13:53","17"
"6839","13210.1","17.71","25.14","65","609.5","1","2021-11-19 04:13:58","17"
"6840","13210.1","8.79","25.14","65","609.5","1","2021-11-19 04:14:03","14"
"6841","13210.1","12.28","25.12","64","609","1","2021-11-19 04:14:08","17"
"6842","13369.6","13.29","25.2","63","608.5","1","2021-11-19 04:14:13","17"
"6843","14196.3","14.87","25.09","63","610","1","2021-11-19 04:14:18","17"
"6844","13210.1","16.03","25.2","63","610","1","2021-11-19 04:14:23","17"
"6845","13210.1","8.61","25.09","63","610","1","2021-11-19 04:14:28","14"
"6846","13289.6","6.97","25.12","64","610","1","2021-11-19 04:14:33","14"
"6847","13210.1","1.91","25.23","64","610.5","1","2021-11-19 04:14:38","14"
"6848","13210.1","3.05","25.2","63","610.5","1","2021-11-19 04:14:43","14"
"6849","14196.3","6.39","25.2","63","610.5","1","2021-11-19 04:14:48","14"
"6850","13210.1","15.22","25.23","64","610","1","2021-11-19 04:14:53","17"
"6851","13210.1","16.83","25.23","64","610.5","1","2021-11-19 04:14:58","17"
